#t_end i t_rel win_id is_partial nsnap t_start t_last eta_mean_win eta_sigma_win xi_skew xi_kurt weight_win sx_mean_win sx_sigma_win sx_skew sx_kurt sz_mean_win sz_sigma_win sz_skew sz_kurt
#  slope stats normalised by sumwsx (area with |n.y|>0.10); cells with steeper interfaces excluded
3.2860774257e+03 1537252 1.6567974257e+03 3 1 2939 3.2833673286e+03 3.2860774257e+03 1.0000071098e+00 1.0378669465e-02 1.2736546138e-01 3.2944876585e+00 1.1641342952e+05 -1.1525476406e-04 7.3123161790e-02 -1.8225636422e-01 3.6024745047e+00 5.9488006512e-06 2.8175582806e-02 6.2575182022e-02 3.4262554590e+00
3.2864701248e+03 1537673 1.6571901248e+03 3 1 3360 3.2833673286e+03 3.2864701248e+03 1.0000073368e+00 1.0391423249e-02 1.2374807857e-01 3.3057519713e+00 1.3309017358e+05 -1.1556123461e-04 7.3178265866e-02 -1.7888057505e-01 3.6979930777e+00 6.5455784075e-06 2.8185590587e-02 5.2301586661e-02 3.4968350586e+00
3.2864701248e+03 1537673 1.6571901248e+03 3 1 3360 3.2833673286e+03 3.2864701248e+03 1.0000073368e+00 1.0391423249e-02 1.2374807857e-01 3.3057519713e+00 1.3309017358e+05 -1.1556123461e-04 7.3178265866e-02 -1.7888057505e-01 3.6979930777e+00 6.5455784075e-06 2.8185590587e-02 5.2301586661e-02 3.4968350586e+00
3.2868628238e+03 1538116 1.6575828238e+03 3 1 3803 3.2833673286e+03 3.2868628238e+03 1.0000073221e+00 1.0396888106e-02 1.1978092299e-01 3.3229255211e+00 1.5063834997e+05 -1.1407256487e-04 7.3188821853e-02 -1.6831127303e-01 3.7247468461e+00 6.7074908022e-06 2.8160062289e-02 3.9929930284e-02 3.5706008765e+00
3.2872555229e+03 1538589 1.6579755229e+03 3 1 4276 3.2833673286e+03 3.2872555229e+03 1.0000071363e+00 1.0405938142e-02 1.1561513905e-01 3.3340515660e+00 1.6937458926e+05 -1.1114360299e-04 7.3147063865e-02 -1.5354031128e-01 3.7096059222e+00 6.5967750132e-06 2.8135861562e-02 3.1873699895e-02 3.6226819587e+00
3.2872555229e+03 1538589 1.6579755229e+03 3 1 4276 3.2833673286e+03 3.2872555229e+03 1.0000071363e+00 1.0405938142e-02 1.1561513905e-01 3.3340515660e+00 1.6937458926e+05 -1.1114360299e-04 7.3147063865e-02 -1.5354031128e-01 3.7096059222e+00 6.5967750132e-06 2.8135861562e-02 3.1873699895e-02 3.6226819587e+00
3.2876482220e+03 1539006 1.6583682220e+03 3 1 4693 3.2833673286e+03 3.2876482220e+03 1.0000069155e+00 1.0423193160e-02 1.1321290380e-01 3.3327423698e+00 1.8589241296e+05 -1.0876798910e-04 7.3128584714e-02 -1.4214740347e-01 3.6892131392e+00 6.5490667556e-06 2.8134346395e-02 3.3048813516e-02 3.6376004396e+00
3.2880409211e+03 1539416 1.6587609211e+03 3 1 4461 3.2833673286e+03 3.2880409211e+03 1.0000069943e+00 1.0413742653e-02 1.1486100541e-01 3.3271122757e+00 1.7670224138e+05 -1.1056650806e-04 7.3123531479e-02 -1.5057845817e-01 3.7035624014e+00 6.5965312860e-06 2.8128775499e-02 3.6873141183e-02 3.6251519897e+00
3.2880409211e+03 1539416 1.6587609211e+03 3 1 4461 3.2833673286e+03 3.2880409211e+03 1.0000069943e+00 1.0413742653e-02 1.1486100541e-01 3.3271122757e+00 1.7670224138e+05 -1.1056650806e-04 7.3123531479e-02 -1.5057845817e-01 3.7035624014e+00 6.5965312860e-06 2.8128775499e-02 3.6873141183e-02 3.6251519897e+00
3.2884336202e+03 1539832 1.6591536202e+03 3 1 4877 3.2833673286e+03 3.2884336202e+03 1.0000066231e+00 1.0426806993e-02 1.1505683551e-01 3.3101649430e+00 1.9317881981e+05 -1.0991391024e-04 7.3064977636e-02 -1.4743955760e-01 3.6879273486e+00 6.6128916098e-06 2.8109955664e-02 4.6475622784e-02 3.6180185259e+00
3.2888263193e+03 1540188 1.6595463193e+03 3 1 5233 3.2833673286e+03 3.2888263193e+03 1.0000063523e+00 1.0437963953e-02 1.1838304565e-01 3.2987154508e+00 2.0727870388e+05 -1.0949902974e-04 7.3028443563e-02 -1.4852033889e-01 3.6699310344e+00 6.4671870114e-06 2.8090507707e-02 4.9046609494e-02 3.5968555581e+00
3.2888263193e+03 1540188 1.6595463193e+03 3 1 5233 3.2833673286e+03 3.2888263193e+03 1.0000063523e+00 1.0437963953e-02 1.1838304565e-01 3.2987154508e+00 2.0727870388e+05 -1.0949902974e-04 7.3028443563e-02 -1.4852033889e-01 3.6699310344e+00 6.4671870114e-06 2.8090507707e-02 4.9046609494e-02 3.5968555581e+00
3.2892190183e+03 1540556 1.6599390183e+03 3 1 5601 3.2833673286e+03 3.2892190183e+03 1.0000061801e+00 1.0451863476e-02 1.2586620538e-01 3.2990934933e+00 2.2185383731e+05 -1.0973765464e-04 7.2996282730e-02 -1.5400284962e-01 3.6598377531e+00 6.3727320160e-06 2.8081804180e-02 4.7213039731e-02 3.5674360341e+00
3.2896117174e+03 1541062 1.6603317174e+03 3 1 6107 3.2833673286e+03 3.2896117174e+03 1.0000061860e+00 1.0470704557e-02 1.4208408115e-01 3.3125576403e+00 2.4189565788e+05 -1.1223393976e-04 7.3002372282e-02 -1.6715900256e-01 3.6742677842e+00 6.6220375941e-06 2.8077990462e-02 4.3831398390e-02 3.5273992743e+00
